eval,tag,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct,gamma_vector
24,coord_w0.08_i11,-0.002032925536519679,1.0020760133811193,1.1552910297076895,0.916099288584168,0.9973614936006937,0.9984964832283878,1.076880816814058,0.0391201364435004,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.23,0.15,0.15,0.15,0.15,0.15,0.15"
25,coord_w0.08_i12,-0.0020222181528170074,1.001840929868677,1.1547158496265832,0.9160992885841674,0.9970258426118924,1.00067476800645,1.0768808168140591,0.03904029887972708,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.07,0.15,0.15,0.15,0.15,0.15"
26,coord_w0.08_i12,-0.002007532517719513,1.002249704211501,1.156495020068335,0.9160992885841674,0.9984306648305463,1.002329223700624,1.07688081681406,0.038846662339186155,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.15,0.15,0.15,0.15,0.15"
27,coord_w0.08_i13,-0.0019922047454835664,1.0024572909476304,1.1566044091871233,0.9160992885841676,0.9985583071294493,1.002329223700623,1.076880816814061,0.038688058669341975,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.15,0.15,0.15,0.15"
28,coord_w0.08_i13,-0.002007532517719513,1.002249704211501,1.156495020068335,0.9160992885841674,0.9984306648305463,1.002329223700624,1.07688081681406,0.038846662339186155,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.15,0.15,0.15,0.15,0.15"
29,coord_w0.08_i14,-0.0019995615408859527,1.0024281539016722,1.156552207001557,0.916099288584167,0.9985872048107771,1.0023292237006238,1.0768808168140596,0.03875618448604733,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.07,0.15,0.15,0.15"
30,coord_w0.08_i14,-0.001986779871762566,1.0024851784577804,1.1565893135255059,0.916099288584167,0.9984660174578182,1.0023292237006252,1.076880816814059,0.0386378495647427,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.15"
31,coord_w0.08_i15,-0.0020000046793974026,1.0022526750165475,1.1559314877190634,0.9160992885841672,0.9978526936293453,1.0023292237006245,1.076880816814059,0.03878657724186035,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.07,0.15,0.15"
32,coord_w0.08_i15,-0.001989452024471208,1.0025661866257731,1.1567254432974137,0.9160992885841669,0.9986347645347614,1.0023292237006234,1.0768808168140598,0.03866029556888733,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.23,0.15,0.15"
33,coord_w0.08_i16,-0.002045612718897875,1.0025343565887639,1.1556821226716993,0.9160992885841674,0.9977318430138566,1.0023292237006236,1.07688081681406,0.03922410908790088,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.07,0.15"
34,coord_w0.08_i16,-inf,0.998509665931068,1.1572463838669145,0.9160992885841676,0.9989751489340314,1.0023292237006245,1.0768808168140593,0.0382432788971286,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.23,0.15"
35,coord_w0.08_i17,-0.002012110523279819,1.0023331481825086,1.1558341591036136,0.9160992885841674,0.997852125236875,1.0023292237006232,1.0768808168140596,0.03890810113755104,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.07"
36,coord_w0.08_i17,-0.0019858717960038923,1.0025872073764488,1.156604944033697,0.9160992885841674,0.9984443194417418,1.0023292237006238,1.0768808168140591,0.038629465595778914,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
37,coord_w0.08_i0,-0.0021284770805961193,1.0025872073764495,1.149942936060227,0.9160992885841667,0.9933077714472727,0.9883659651469633,1.0768808168140591,0.04020790484042083,"0.07,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
38,coord_w0.08_i0,-0.002056932376416406,1.0025872073764477,1.1599829743891559,0.9160992885841687,1.0010455519053871,1.0090621079305706,1.076880816814058,0.03924571422026644,"0.23,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
39,coord_w0.08_i1,-0.001984417445533113,1.0025538273417371,1.153621110864032,0.9160992885841674,0.9962427338888838,0.9958707520783816,1.076880816814059,0.03867587519464457,"0.15,0.15,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
40,coord_w0.08_i1,-0.0019858717960038923,1.0025872073764488,1.156604944033697,0.9160992885841674,0.9984443194417418,1.0023292237006238,1.0768808168140591,0.038629465595778914,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
41,coord_w0.08_i2,-0.002134598021175687,1.002539649216946,1.1504483535699788,0.9160992885841676,0.9936060719884736,0.9954491865481969,1.0768808168140598,0.040277972123860306,"0.15,0.15,0.15,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
42,coord_w0.08_i2,-0.0019799520242521607,1.0025622644559518,1.1557111874415047,0.9160992885841669,0.9979793289978864,1.0023292237006236,1.0768808168140604,0.038587416908435326,"0.15,0.15,0.31,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
43,coord_w0.08_i3,-0.002061101140109477,1.0025622644559506,1.1518902520023842,0.9160992885841674,0.9951171572068901,0.9954182284653472,1.0768808168140598,0.03948281166191311,"0.15,0.15,0.31,0.15,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
44,coord_w0.08_i3,-0.0020290268923231517,1.0025622644559518,1.1580361075069172,0.9160992885841674,0.9997187577545172,1.0044370133919573,1.07688081681406,0.03900258310604331,"0.15,0.15,0.31,0.31,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
45,coord_w0.08_i4,-0.002331806354970858,1.0019820687582388,1.1497274644061064,0.916099288584168,0.9934458461171136,1.002329223700624,1.07688081681406,0.04219467405112667,"0.15,0.15,0.31,0.23,0.07,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
46,coord_w0.08_i4,-0.0019642699965893885,1.0027117563001218,1.1587235542889307,0.9160992885841674,1.0002470631900142,1.004626974971269,1.0768808168140607,0.03838588757317997,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
47,coord_w0.08_i5,-inf,0.9944792669810217,1.1578321289690816,0.9160992885841672,0.9993476418071149,1.0044650148011767,1.0768808168140604,0.038019037955582376,"0.15,0.15,0.31,0.23,0.23,0,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
48,coord_w0.08_i5,-0.0020129627196275183,1.0027464491873603,1.159462668035986,0.9160992885841676,1.0009928726022899,1.0047600771599616,1.07688081681406,0.03881983665470435,"0.15,0.15,0.31,0.23,0.23,0.15,0.15,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
49,coord_w0.08_i6,-0.0023532207554382645,1.002711756300124,1.1516444702030635,0.9160992885841672,0.9943322545307559,1.004591025479225,1.0768808168140616,0.042346978162717784,"0.15,0.15,0.31,0.23,0.23,0.07,0.07,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
50,coord_w0.08_i6,-0.0021148371067902416,1.0027117563001227,1.1626261378568477,0.9160992885841672,1.0035052354886538,1.0072155266642575,1.0768808168140613,0.03972561884873773,"0.15,0.15,0.31,0.23,0.23,0.07,0.23,0.07,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
51,coord_w0.08_i7,-inf,0.9943900981613599,1.1578863158834314,0.9160992885841672,0.9994060696719419,1.0023292237006238,1.0768808168140602,0.0383117049261419,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
52,coord_w0.08_i7,-0.0019879554459119697,1.002792819717672,1.159458382094396,0.9160992885841674,1.0009851641584246,1.004626974971268,1.0768808168140591,0.03859736916681855,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.15,0.23,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
53,coord_w0.08_i8,-0.001998995823482933,1.0012472358095765,1.1555032845076278,0.9160992885841678,0.9974718257920492,1.0023292237006243,1.0768808168140591,0.038786617022585165,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.15,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
54,coord_w0.08_i8,-0.0020022765783690943,1.0027925614383495,1.160522292206173,0.9160992885841674,1.0017863957059796,1.0054626058818854,1.0768808168140598,0.03871711212988348,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.31,0.07,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
55,coord_w0.08_i9,-0.001994553147976509,1.0027117563001227,1.1554513062833667,0.916099288584167,0.9976364622509835,0.9992308261645305,1.0768808168140607,0.03872678196874001,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
