seed,strategy,blr_corr,global_corr,amp_chi2,phase_chi2,source_summary
20260537,edge_uniform,0.6590231982158798,0.9049627674003695,0.8110832839770367,0.9351012084254826,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260537,optimal_singlecopy,0.6800225244298305,0.8966962122647675,0.8225356687232973,0.9404618718637211,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260537,collective_ns3,0.806462629705983,0.9432401925471028,0.8515253842700932,0.9085102988896471,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260538,edge_uniform,0.6880569733565209,0.9221333879188879,0.8213891752174658,0.9112506832989874,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260538,optimal_singlecopy,0.712751423627617,0.9237035395503719,0.8351965897149582,0.9209877125499989,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260538,collective_ns3,0.8108252178189158,0.9350828616193227,0.8541195715877505,0.8879783014037937,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260539,edge_uniform,0.7396372523193568,0.8944385014437881,0.8415931826549504,0.9291606333852194,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260539,optimal_singlecopy,0.7799907114765995,0.9189737981580827,0.8541586768101049,0.9256956848924137,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260539,collective_ns3,0.8295063943511712,0.9331216395173642,0.8763576569924791,0.8966659698194421,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260540,edge_uniform,0.6924377837301985,0.907986894679857,0.8182856006770123,0.9038495984920425,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
