config,prior,tv,entropy,score,profile_rmse,global_corr,blr_corr,radial_corr,amp_chi2,phase_chi2,variant,variant_label
p0p08_tv0p06_e0p005,0.08,0.06,0.005,0.2657813532097607,0.2320326786229154,0.8786860172044388,0.8312566270657734,0.9395678535841343,0.9272861826766898,0.6065134195814101,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0_e0,0.15,0.0,0.0,0.2625104461980138,0.2291618127544319,0.8794435498255143,0.8332568327820906,0.9397907400905395,0.9263139195322377,0.6075416364711311,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0_e0p005,0.15,0.0,0.005,0.2708333230817764,0.23722018182912927,0.8786678683602526,0.8319342937367644,0.9396258207236902,0.9276882148096774,0.6075295390460508,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p01_e0,0.15,0.01,0.0,0.26148854093256557,0.22877967517483178,0.8806083354684463,0.8364556712113311,0.9401123233087784,0.9263535605933517,0.6073953484271396,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p01_e0p005,0.15,0.01,0.005,0.2685945956861473,0.23486754447491534,0.8786599510810483,0.8313647439438401,0.9395919112908974,0.9278122873197524,0.6069394586154981,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p03_e0,0.15,0.03,0.0,0.26316821438781185,0.22958845237754935,0.8798532435845057,0.8321011899486875,0.9400783458394131,0.9244544926945352,0.6086376636514406,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p03_e0p005,0.15,0.03,0.005,0.2669427461276472,0.2335243874974653,0.8798099346652889,0.8329082068490905,0.9399801371351357,0.9273136588761439,0.6076015688933598,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p06_e0,0.15,0.06,0.0,0.2609147310957804,0.22733556738729613,0.8801021320959547,0.8321041814575787,0.9400236422902248,0.9263841818326077,0.6069969219903912,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p15_tv0p06_e0p005,0.15,0.06,0.005,0.25944248089328975,0.22600106134522766,0.8802711629039484,0.8327929022596896,0.9400051636768781,0.9257965778342262,0.607285537602698,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
baseline,0.1,0.045,0.01,0.29723832527991134,0.24647080982245798,0.8528373339603441,0.746162422712733,0.9419607758509434,0.8975575810386148,0.6195076873111341,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0_e0,0.0,0.0,0.0,0.2972616227389367,0.24647055706346319,0.8532343185786124,0.7460446716226325,0.9427172109390034,0.8974659243412174,0.6200955574174589,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0_e0p005,0.0,0.0,0.005,0.30399122413849783,0.25112446112304987,0.8484354582825501,0.7356661849227601,0.9414873005119216,0.8997195723517294,0.618566323096042,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p01_e0,0.0,0.01,0.0,0.30113273096363496,0.248611390497362,0.8494531580330172,0.7373932976686352,0.9420134038362636,0.8987832633340613,0.6189044244539912,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p01_e0p005,0.0,0.01,0.005,0.3027299545242561,0.2504764095384943,0.8502710072527118,0.738732275071191,0.9418024776108614,0.899734351513796,0.6176567696970134,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p03_e0,0.0,0.03,0.0,0.3030115084751309,0.2511118193991686,0.850948363601104,0.7405015546201884,0.9416260535049412,0.898805643466626,0.6188905797013716,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p03_e0p005,0.0,0.03,0.005,0.29820548099335,0.24742513740589714,0.8528655502454284,0.7460982820627358,0.9423802302994491,0.8977056099408846,0.6197253359453118,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p06_e0,0.0,0.06,0.0,0.30335398798969354,0.25094694187635125,0.850013213394134,0.7379647694332886,0.942292099492068,0.8983350864564216,0.6191246903063258,patchy_resolved_ring,patchy resolved BLR ring
p0_tv0p06_e0p005,0.0,0.06,0.005,0.3003221292251873,0.24951490261530387,0.853157232831491,0.7459638669505828,0.9428355036807519,0.8990057304387614,0.6197218061919356,patchy_resolved_ring,patchy resolved BLR ring
